           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    1.51367E-01   -1.04916E-01    6.03695E-02    9.08722E-02    2.74523E-01   -2.15930E-01    2.27773E-01   -2.69466E-01    4.03717E-01    1.49386E-01   -3.60573E-01   -2.08166E-02   -4.19832E-01    4.66054E-01    6.31219E-02   -1.64947E-01    1.47253E-01
    1.56250E-01   -1.14945E-01    6.80558E-02    1.30995E-01    2.41425E-01   -1.92675E-01    4.10249E-01   -4.78316E-01    3.06836E-01    1.07627E-01   -3.49048E-01   -2.91444E-02   -5.40454E-01    5.72145E-01   -9.81965E-02   -1.03425E-01   -1.39251E-02
    1.61133E-01   -1.22978E-01    7.39678E-02    1.57037E-01    2.22496E-01   -1.72877E-01    5.31936E-01   -6.22211E-01    2.33043E-01    8.13394E-02   -3.34796E-01   -3.50052E-02   -6.26789E-01    6.37052E-01   -2.10406E-01   -5.81653E-02   -1.20636E-01
    1.66016E-01   -1.28592E-01    7.75771E-02    1.62967E-01    2.25432E-01   -1.58926E-01    5.66170E-01   -6.72887E-01    1.94330E-01    7.82341E-02   -3.17956E-01   -3.73741E-02   -6.65191E-01    6.43896E-01   -2.51023E-01   -3.71607E-02   -1.47465E-01
    1.70898E-01   -1.31649E-01    7.87149E-02    1.46877E-01    2.52677E-01   -1.51605E-01    5.04488E-01   -6.21357E-01    1.94563E-01    1.00762E-01   -2.98614E-01   -3.59251E-02   -6.51319E-01    5.87358E-01   -2.12885E-01   -4.29745E-02   -8.63343E-02
    1.75781E-01   -1.32330E-01    7.76074E-02    1.11381E-01    3.00903E-01   -1.49938E-01    3.58417E-01   -4.79801E-01    2.28674E-01    1.45592E-01   -2.76792E-01   -3.10995E-02   -5.91044E-01    4.74807E-01   -1.05650E-01   -7.22056E-02    5.17923E-02
    1.80664E-01   -1.31093E-01    7.48280E-02    6.30742E-02    3.61715E-01   -1.51398E-01    1.57046E-01   -2.78999E-01    2.83749E-01    2.04317E-01   -2.52464E-01   -2.40130E-02   -4.99214E-01    3.24766E-01    4.62401E-02   -1.16213E-01    2.39220E-01
    1.85547E-01   -1.28581E-01    7.11784E-02    1.11413E-02    4.23426E-01   -1.52459E-01   -5.90868E-02   -6.18602E-02    3.41777E-01    2.65224E-01   -2.25576E-01   -1.62214E-02   -3.96540E-01    1.63036E-01    2.08718E-01   -1.62946E-01    4.37364E-01
    1.90430E-01   -1.25492E-01    6.75223E-02   -3.45682E-02    4.73530E-01   -1.49349E-01   -2.46526E-01    1.25615E-01    3.83469E-01    3.15776E-01   -1.96088E-01   -9.39341E-03   -3.05248E-01    1.72882E-02    3.45274E-01   -1.99497E-01    6.04882E-01
    1.95312E-01   -1.22436E-01    6.46071E-02   -6.56108E-02    5.01359E-01   -1.38865E-01   -3.68039E-01    2.44006E-01    3.92360E-01    3.45258E-01   -1.64011E-01   -4.96046E-03   -2.44421E-01   -8.87301E-02    4.24658E-01   -2.14836E-01    7.06402E-01
    2.00195E-01   -1.19816E-01    6.29114E-02   -7.67199E-02    5.00350E-01   -1.19071E-01   -4.00445E-01    2.68765E-01    3.58325E-01    3.47048E-01   -1.29437E-01   -3.81659E-03   -2.26013E-01   -1.40155E-01    4.27475E-01   -2.02152E-01    7.19987E-01
    2.05078E-01   -1.17757E-01    6.25498E-02   -6.69076E-02    4.69461E-01   -8.97285E-02   -3.39481E-01    1.95369E-01    2.79754E-01    3.20033E-01   -9.25646E-02   -6.13180E-03   -2.52365E-01   -1.34092E-01    3.50287E-01   -1.60309E-01    6.41780E-01
    2.09961E-01   -1.16085E-01    6.32552E-02   -3.96644E-02    4.13420E-01   -5.23759E-02   -2.00688E-01    4.02532E-02    1.63949E-01    2.68861E-01   -5.36980E-02   -1.13182E-02   -3.15753E-01   -8.01799E-02    2.06355E-01   -9.41091E-02    4.86845E-01
    2.14844E-01   -1.14379E-01    6.44429E-02   -2.21500E-03    3.41772E-01   -1.00320E-02   -1.61158E-02   -1.62671E-01    2.56437E-02    2.02985E-01   -1.32301E-02   -1.81560E-02   -4.00065E-01    1.49635E-03    2.28613E-02   -1.33067E-02    2.86022E-01
    2.19727E-01   -1.12079E-01    6.53419E-02    3.60131E-02    2.66910E-01    3.34069E-02    1.72443E-01   -3.69182E-01   -1.16035E-01    1.34696E-01    2.83880E-02   -2.50528E-02   -4.84245E-01    8.46906E-02   -1.64790E-01    6.94188E-02    7.94680E-02
    2.24609E-01   -1.08613E-01    6.51658E-02    6.53853E-02    2.01510E-01    7.39543E-02    3.22273E-01   -5.34087E-01   -2.41530E-01    7.65638E-02    7.06890E-02   -3.03816E-02   -5.46783E-01    1.42584E-01   -3.20411E-01    1.41105E-01   -9.17639E-02
